Entries|Source
['MAQI', 'MAQI', 'OGGODIKA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Aglish&stone=141._Aglish_I
['CELI', 'AVI', 'VUD']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Aglish&stone=142._Aglish_II
['MAC', 'LMCBLTCLLT']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ardcanaght&stone=246b._Ardcanaght_II
['MAQI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ardcanaght&stone=246a._Ardcanaght_I
['OC', 'GIC']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ardfert&stone=Ardfert_II
['CTA', 'QLOG']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ardfert&stone=136._Ardfert_I
['LUGUDECCAS', 'MAQI', 'MUCOI', 'NETA', 'SEGAMONAS', 'DOLATI', 'BIGAISGOB']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ardmore&stone=263._Ardmore_I
['NACI', 'MAQI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ardmore&stone=264._Ardmore_II
['AMADU']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ardmore&stone=265._Ardmore_III
['QRIMITIR', 'RONANN', 'MAQ', 'COMOGANN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Arraglen&stone=145._Arraglen
['MAC', 'GRAVICAS', 'MAQI', 'MUCOI', 'DO', 'VVINIAS', 'CUP', 'NAVICAS', 'MAQI', 'MUCOI', 'MCM', 'GRAVICAS', 'MAQI', 'MUCO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballinrannig&stone=150._Ballinrannig_III
['BROINIONAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballinrannig&stone=151._Ballinrannig_IV
['GLUBBIAS', 'MAQQI', 'NIAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballinrannig&stone=152._Ballinrannig_V
['CCICAMINI', 'MAQQI', 'CATTINI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballinrannig&stone=153._Ballinrannig_VI
['CUNAMAQQI', 'CORBBI', 'MAQQI', 'MUCCOI', 'DOVVINIAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballinrannig&stone=154._Ballinrannig_VII
['AKEVRITTI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballintaggart&stone=155._Ballintaggart_I
['MAQQI', 'IARI', 'KOI', 'MAQQI', 'MUCCOI', 'DOVVINIAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballintaggart&stone=156._Ballintaggart_II
['DOVETI', 'MAQQI', 'CATTINI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballintaggart&stone=157._Ballintaggart_III
['SUVALLOS', 'MAQQI', 'DUCOVAROS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballintaggart&stone=158._Ballintaggart_IV
['MAQI', 'DECCEDA', 'MAQI', 'GLASICONAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballintaggart&stone=159._Ballintaggart_V
['TRIA', 'MAQA', 'MAILAGNI', 'CURCITTI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballintaggart&stone=160._Ballintaggart_VI
['INISSIONAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballintaggart&stone=161._Ballintaggart_VII
['CUNAMAQQI', 'AVI', 'CORBBI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballintaggart&stone=162._Ballintaggart_VIII
['NETTA', 'LAMINACCA', 'KOI', 'MAQQI', 'MUCOI', 'DOVINIAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballintaggart&stone=163._Ballintaggart_IX
['CORBI', 'KOI', 'MAQI', 'LABRID']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballyboodan&stone=38._Ballyboodan
['QENILOCI', 'MAQI', 'MAQI', 'AINIA', 'MUCOI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballymorereagh&stone=170._Ballymorereagh
['DUGENNGI', 'MAQI', 'RODOS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballynahunt&stone=171._Ballynahunt
['TOGITTACC', 'MAQI', 'SAGARETTOS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ballywiheen&stone=172._Ballywiheen
['VOTI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Boleycarrigeen&stone=50._Boleycarrigeen
['GG', 'SD', 'LENGESCAD', 'MAQ', 'CORRBRI', 'MAQ', 'AMMLLONGITT']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Breastagh&stone=10._Breastagh
['SENAQ', 'MAQI', 'MUCOI', 'ENA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Bunmahon&stone=Knockmahon_I
['VEDILIMETO', 'MAQI', 'TOQITAQ']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Bunmahon&stone=Knockmahon_II
['NETA', 'CARI', 'NETA', 'CAGI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Castletimon&stone=47._Castletimon
['GLUBBIAS', 'MAQQI', 'NIAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Chute_Hall&stone=152._Ballinrannig_V
['CCICAMINI', 'MAQQI', 'CATTINI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Chute_Hall&stone=153._Ballinrannig_VI
['EQQEGGNI', 'MAQI', 'MAQI', 'CARATTINN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Cloghanecarhan&stone=230._Cloghanecarhan
['MAC', 'RENI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Clonmore&stone=15._Clonmore
['MOINENA', 'MAQI', 'OLACON']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Colaiste_Ide&stone=147._Ballineesteenigh
['MAC', 'GRAVICAS', 'MAQI', 'MUCOI', 'DO', 'VVINIAS', 'CUP', 'NAVICAS', 'MAQI', 'MUCOI', 'MCM', 'GRAVICAS', 'MAQI', 'MUCO']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Colaiste_Ide&stone=150._Ballinrannig_III
['BROINIONAS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Colaiste_Ide&stone=151._Ballinrannig_IV
['MAQQI', 'ERCCIA', 'MAQQI', 'MUCOI', 'DOVINIA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Colaiste_Ide&stone=175._Burnham_West
